Length	Weight	Len^3	Ln(Length)	Ln(Weight)
58	28	195112	4.060443	3.33220451
61	44	226981	4.1108739	3.78418963
63	33	250047	4.1431347	3.49650756
68	39	314432	4.2195077	3.66356165
69	36	328509	4.2341065	3.58351894
72	38	373248	4.2766661	3.63758616
72	61	373248	4.2766661	4.11087386
74	54	405224	4.3040651	3.98898405
74	51	405224	4.3040651	3.93182563
76	42	438976	4.3307333	3.73766962
78	57	474552	4.3567088	4.04305127
82	80	551368	4.4067192	4.38202664
85	84	614125	4.4426513	4.4308168
86	83	636056	4.4543473	4.41884061
86	80	636056	4.4543473	4.38202664
86	90	636056	4.4543473	4.49980967
88	70	681472	4.4773368	4.24849524
89	84	704969	4.4886364	4.4308168
90	106	729000	4.4998097	4.66343909
90	102	729000	4.4998097	4.62497281
94	110	830584	4.5432948	4.70048037
94	130	830584	4.5432948	4.86753445
114	197	1481544	4.7361984	5.28320373
128	366	2097152	4.8520303	5.90263333
147	640	3176523	4.9904326	6.46146818
